case_id,medicine_name,medicine_criticality,cold_chain_required,supplier_id,destination_facility,supplier_on_time_rate,supplier_fill_rate,lead_time_days,lead_time_variability,route_delay_days,weather_risk_score,demand_spike_factor,current_stock_days,warehouse_utilization,safety_stock_gap,disruption_within_7d
C62,Insulin,5,1,S9,District Hospital Jaipur,0.552,0.836,6,3.73,1.92,2,1.27,6,55,2,0
C63,Ceftriaxone,4,0,S8,CHC Bikaner,0.861,0.818,2,3.95,1.65,3,1.34,1,53,7,1
C64,Iron Folic Acid,2,0,S5,PHC Sikar,0.906,0.819,5,2.89,5.56,7,0.67,5,78,3,0
C65,Adrenaline Injection,5,0,S2,PHC Sikar,0.986,0.961,5,3.58,4.32,3,0.5,15,75,0,1
C66,Adrenaline Injection,5,0,S10,District Hospital Ajmer,0.99,0.947,5,1.1,0.42,8,1.46,22,100,0,1
C67,Paracetamol Injection,3,0,S9,CHC Udaipur,0.745,0.81,5,2.58,3.47,7,0.5,21,58,0,0
C68,Salbutamol,4,0,S5,CHC Bikaner,0.99,0.759,10,0.02,0.0,10,0.5,17,92,0,0
C69,Anti-snake Venom,5,1,S3,CHC Udaipur,0.819,0.728,7,1.42,3.13,9,0.91,8,98,0,1
C70,Pentavalent Vaccine,5,1,S3,PHC Sikar,0.687,0.803,2,4.19,1.44,7,0.81,19,67,0,0
C71,Ceftriaxone,4,0,S2,CHC Bikaner,0.636,1.0,7,1.97,1.93,7,0.51,14,83,0,0
C72,Pentavalent Vaccine,5,1,S7,Medical College Kota,0.727,0.982,4,0.0,2.8,7,0.6,22,96,0,1
C73,Ceftriaxone,4,0,S1,Medical College Kota,0.778,0.837,9,3.57,2.3,10,0.9,23,97,0,0
C74,Iron Folic Acid,2,0,S7,District Hospital Jaipur,0.693,0.893,3,0.62,0.0,1,0.71,3,72,5,0
C75,ORS,3,0,S5,District Hospital Ajmer,0.97,0.643,3,1.95,2.35,9,0.81,10,79,0,0
C76,Pentavalent Vaccine,5,1,S1,CHC Bikaner,0.868,1.0,8,3.51,2.61,3,0.58,13,83,0,0
C77,Anti-snake Venom,5,1,S6,CHC Bikaner,0.982,0.873,10,3.11,0.0,8,1.63,21,91,0,0
C78,Anti-snake Venom,5,1,S9,PHC Alwar,0.817,0.886,10,3.97,6.47,0,0.92,21,77,0,1
C79,Amoxicillin,4,0,S6,PHC Sikar,0.793,0.981,5,1.04,3.4,2,0.96,24,71,0,1
C80,Insulin,5,1,S10,Medical College Kota,0.887,0.737,5,2.72,1.49,10,0.77,2,58,6,0
C81,Oxytocin,5,0,S9,District Hospital Jaipur,0.694,0.682,9,0.16,0.78,2,0.89,17,66,0,1
C82,Pentavalent Vaccine,5,1,S1,PHC Alwar,0.741,0.929,2,4.43,3.82,5,1.37,8,74,0,0
C83,Adrenaline Injection,5,0,S10,District Hospital Jaipur,0.872,0.881,8,0.62,6.19,6,1.16,18,72,0,1
C84,ORS,3,0,S7,PHC Sikar,0.794,0.954,2,1.73,0.0,1,1.49,3,86,5,0
C85,Iron Folic Acid,2,0,S7,PHC Alwar,0.798,0.816,2,5.56,2.37,1,0.5,12,51,0,0
C86,Iron Folic Acid,2,0,S2,CHC Udaipur,0.908,0.924,8,2.24,6.18,8,0.77,10,79,0,0
C87,Pentavalent Vaccine,5,1,S4,District Hospital Ajmer,0.597,0.83,3,0.99,0.12,8,1.16,15,58,0,0
C88,Salbutamol,4,0,S8,Medical College Kota,0.79,0.958,9,2.18,5.66,8,0.77,7,53,1,0
C89,ORS,3,0,S6,District Hospital Ajmer,0.805,0.81,10,3.33,0.38,5,1.18,23,98,0,0
C90,ORS,3,0,S10,District Hospital Jaipur,0.963,0.823,3,0.74,1.81,2,1.0,3,87,5,0
C91,Salbutamol,4,0,S9,Medical College Kota,0.719,0.876,10,0.26,0.21,8,0.98,5,60,3,0
C92,Paracetamol Injection,3,0,S6,District Hospital Jodhpur,0.797,0.836,3,2.65,0.57,0,1.08,18,89,0,0
C93,Ceftriaxone,4,0,S10,PHC Sikar,0.979,0.747,2,2.86,2.05,7,0.78,16,90,0,0
C94,Salbutamol,4,0,S5,CHC Bikaner,0.763,0.892,8,1.56,3.37,9,0.97,10,81,0,0
C95,Pentavalent Vaccine,5,1,S2,Medical College Kota,0.99,0.894,8,3.48,0.0,7,1.26,24,94,0,1
C96,Rabies Vaccine,5,1,S3,CHC Udaipur,0.658,0.855,3,2.01,3.68,4,0.5,22,53,0,1
C97,ORS,3,0,S2,Medical College Kota,0.949,0.757,7,2.15,4.82,5,0.83,18,63,0,1
C98,Adrenaline Injection,5,0,S4,PHC Sikar,0.835,0.897,8,1.71,3.55,10,0.84,23,75,0,0
C99,Amoxicillin,4,0,S4,District Hospital Jaipur,0.976,0.871,5,3.2,2.54,3,0.55,17,93,0,0
C100,Oxytocin,5,0,S5,PHC Sikar,0.925,0.675,11,1.65,1.07,2,1.12,17,74,0,1
C101,Amoxicillin,4,0,S8,Medical College Kota,0.852,0.837,6,2.26,0.0,1,1.22,12,73,0,1
C102,Ceftriaxone,4,0,S4,CHC Udaipur,0.979,1.0,5,4.75,0.0,8,0.89,22,51,0,1
C103,Anti-snake Venom,5,1,S1,District Hospital Jodhpur,0.99,0.821,3,6.21,0.61,10,1.28,6,90,2,0
C104,Rabies Vaccine,5,1,S3,District Hospital Jodhpur,0.871,0.828,7,2.57,4.21,9,1.31,8,81,0,0
C105,Insulin,5,1,S2,District Hospital Jaipur,0.79,0.792,2,1.79,3.44,6,1.07,14,99,0,0
C106,Iron Folic Acid,2,0,S7,Medical College Kota,0.692,0.888,4,1.3,1.88,8,1.31,7,80,1,0
C107,Amoxicillin,4,0,S8,District Hospital Jodhpur,0.927,0.924,8,3.48,5.06,5,0.93,3,90,5,1
C108,Anti-snake Venom,5,1,S2,CHC Udaipur,0.978,1.0,10,4.11,0.92,6,1.15,14,85,0,0
C109,Pentavalent Vaccine,5,1,S5,PHC Alwar,0.881,0.66,4,2.24,0.13,5,1.38,24,69,0,0
C110,Adrenaline Injection,5,0,S4,Medical College Kota,0.807,0.704,6,5.5,4.32,1,0.5,4,55,4,1
C111,Ceftriaxone,4,0,S3,CHC Bikaner,0.99,0.998,2,3.1,0.27,6,0.52,2,86,6,1
C112,Salbutamol,4,0,S6,Medical College Kota,0.99,1.0,8,0.03,3.57,5,0.5,17,74,0,1
C113,Amoxicillin,4,0,S3,District Hospital Ajmer,0.822,0.851,9,0.39,0.51,10,0.95,16,59,0,0
C114,Adrenaline Injection,5,0,S9,District Hospital Jaipur,0.939,1.0,2,0.61,0.16,8,0.54,11,86,0,0
C115,Adrenaline Injection,5,0,S5,District Hospital Jaipur,0.866,0.903,7,2.11,1.15,1,0.57,5,54,3,0
C116,Ceftriaxone,4,0,S10,Medical College Kota,0.896,0.952,9,3.02,0.0,5,2.03,20,72,0,0
C117,ORS,3,0,S2,CHC Bikaner,0.732,0.911,6,2.91,0.33,5,0.93,2,50,6,1
C118,Iron Folic Acid,2,0,S10,CHC Udaipur,0.846,1.0,9,2.41,2.17,10,1.18,8,74,0,0
C119,Insulin,5,1,S1,PHC Sikar,0.921,1.0,3,2.4,2.09,8,0.91,11,53,0,1
C120,Rabies Vaccine,5,1,S4,CHC Udaipur,0.759,0.95,10,2.29,2.92,0,0.86,24,56,0,0
C121,Insulin,5,1,S10,PHC Alwar,0.578,0.967,10,4.1,5.54,2,1.57,10,51,0,1
C122,Ceftriaxone,4,0,S5,CHC Bikaner,0.941,0.697,5,2.76,3.99,5,1.2,14,99,0,0
C123,Anti-snake Venom,5,1,S5,PHC Alwar,0.93,0.844,6,2.12,2.21,10,0.57,13,71,0,0
C124,ORS,3,0,S5,Medical College Kota,0.762,0.912,4,2.81,0.01,1,1.06,2,98,6,1
C125,Iron Folic Acid,2,0,S9,CHC Udaipur,0.886,0.763,11,1.69,2.42,7,0.8,24,85,0,0
C126,Rabies Vaccine,5,1,S7,CHC Udaipur,0.883,0.802,11,2.6,1.95,8,1.79,9,64,0,0
C127,Iron Folic Acid,2,0,S9,District Hospital Ajmer,0.841,0.887,2,3.62,0.24,1,1.24,7,59,1,0
C128,Ceftriaxone,4,0,S4,CHC Bikaner,0.875,1.0,2,0.64,2.64,6,1.14,21,66,0,0
C129,Oxytocin,5,0,S3,Medical College Kota,0.887,0.741,10,4.69,0.0,8,0.72,22,88,0,1
C130,Anti-snake Venom,5,1,S7,District Hospital Jodhpur,0.99,0.917,8,4.94,0.15,4,1.3,1,85,7,1
C131,Paracetamol Injection,3,0,S1,PHC Sikar,0.959,0.705,2,3.24,3.24,10,0.53,8,99,0,0
C132,Adrenaline Injection,5,0,S10,PHC Sikar,0.919,0.71,4,0.51,1.03,7,1.6,22,93,0,1
C133,Oxytocin,5,0,S9,PHC Alwar,0.71,0.868,10,0.0,0.6,6,0.62,5,69,3,1
C134,Adrenaline Injection,5,0,S1,District Hospital Jaipur,0.782,0.795,7,2.91,1.85,0,0.89,21,65,0,0
C135,ORS,3,0,S2,District Hospital Ajmer,0.726,0.727,6,0.67,0.21,0,0.7,23,75,0,0
C136,Pentavalent Vaccine,5,1,S6,PHC Sikar,0.628,0.897,6,4.6,1.55,0,0.5,10,87,0,1
C137,Ceftriaxone,4,0,S8,CHC Bikaner,0.852,0.892,8,1.74,1.07,4,1.25,2,74,6,0
C138,Insulin,5,1,S4,PHC Alwar,0.834,1.0,7,2.05,0.57,2,1.33,9,55,0,0
C139,Oxytocin,5,0,S2,District Hospital Jodhpur,0.934,0.521,5,2.86,0.0,3,0.67,6,81,2,0
C140,Amoxicillin,4,0,S7,PHC Sikar,0.803,0.974,3,0.0,0.26,10,0.98,18,80,0,0
C141,Salbutamol,4,0,S7,PHC Sikar,0.735,0.945,8,1.92,1.81,3,0.55,5,88,3,0
C142,ORS,3,0,S4,Medical College Kota,0.895,0.907,6,3.6,1.27,2,1.35,7,76,1,0
C143,Pentavalent Vaccine,5,1,S5,District Hospital Ajmer,0.751,0.601,7,3.08,3.96,6,1.04,1,62,7,1
C144,Amoxicillin,4,0,S5,District Hospital Ajmer,0.686,0.761,6,2.45,0.0,3,0.99,16,67,0,0
C145,Salbutamol,4,0,S4,District Hospital Ajmer,0.99,0.839,2,4.21,0.0,0,0.97,11,83,0,0
C146,Rabies Vaccine,5,1,S8,District Hospital Jaipur,0.931,0.796,9,2.75,1.45,7,1.09,13,57,0,0
C147,Anti-snake Venom,5,1,S1,District Hospital Ajmer,0.805,0.869,2,0.48,0.0,10,0.79,5,54,3,0
C148,Paracetamol Injection,3,0,S10,CHC Udaipur,0.963,0.863,2,1.23,3.29,8,0.74,9,51,0,0
C149,Ceftriaxone,4,0,S1,Medical College Kota,0.979,0.916,10,2.46,2.53,1,0.73,8,51,0,0
C150,Oxytocin,5,0,S2,PHC Sikar,0.776,0.777,9,2.8,0.0,8,0.5,18,71,0,0
C151,ORS,3,0,S5,Medical College Kota,0.845,0.844,9,3.62,0.85,8,1.75,21,57,0,0
C152,Pentavalent Vaccine,5,1,S7,Medical College Kota,0.903,0.845,7,1.95,2.22,10,0.77,18,80,0,0
C153,Pentavalent Vaccine,5,1,S8,Medical College Kota,0.857,1.0,2,0.0,1.64,2,1.35,5,96,3,0
C154,Iron Folic Acid,2,0,S8,District Hospital Jaipur,0.845,0.914,5,3.01,1.12,9,0.7,2,92,6,0
C155,Oxytocin,5,0,S7,PHC Sikar,0.758,0.749,10,2.3,1.53,9,1.11,14,63,0,1
C156,Oxytocin,5,0,S9,Medical College Kota,0.858,0.771,8,1.84,1.92,9,0.5,4,96,4,1
C157,ORS,3,0,S10,District Hospital Jodhpur,0.765,0.824,7,5.02,0.15,4,0.85,17,56,0,0
C158,Ceftriaxone,4,0,S8,District Hospital Ajmer,0.678,1.0,5,5.51,1.46,1,0.77,19,80,0,0
C159,Ceftriaxone,4,0,S1,PHC Alwar,0.954,0.795,7,3.33,0.61,2,0.6,23,98,0,0
C160,Amoxicillin,4,0,S4,District Hospital Jaipur,0.797,1.0,10,3.45,1.84,0,1.2,6,53,2,0
C161,Anti-snake Venom,5,1,S6,PHC Alwar,0.775,0.969,10,3.03,1.59,2,0.82,17,94,0,0
C162,Ceftriaxone,4,0,S10,PHC Sikar,0.913,0.963,6,2.21,0.0,4,0.72,4,55,4,1
C163,Pentavalent Vaccine,5,1,S7,CHC Bikaner,0.832,0.875,5,1.6,2.34,8,1.27,4,70,4,1
C164,Adrenaline Injection,5,0,S10,CHC Udaipur,0.967,0.949,11,1.46,3.14,9,0.72,13,55,0,0
C165,ORS,3,0,S8,PHC Sikar,0.832,0.747,2,2.25,1.7,1,1.12,24,64,0,1
C166,Oxytocin,5,0,S10,CHC Bikaner,0.99,0.704,10,1.71,2.24,4,1.0,3,72,5,1
C167,Paracetamol Injection,3,0,S1,PHC Sikar,0.857,0.847,10,1.59,4.43,8,1.07,17,73,0,0
C168,Amoxicillin,4,0,S10,PHC Sikar,0.958,0.878,2,1.95,0.0,1,1.19,1,59,7,0
C169,Amoxicillin,4,0,S6,District Hospital Jodhpur,0.796,0.846,4,3.43,5.2,7,0.89,10,84,0,0
C170,Insulin,5,1,S7,District Hospital Ajmer,0.847,0.812,5,1.07,0.0,4,1.03,15,71,0,0
C171,Anti-snake Venom,5,1,S9,District Hospital Jodhpur,0.926,0.852,2,4.4,0.67,6,1.36,18,92,0,1
C172,Ceftriaxone,4,0,S8,Medical College Kota,0.881,0.677,10,2.8,4.87,6,1.38,9,96,0,1
C173,Paracetamol Injection,3,0,S2,CHC Bikaner,0.99,0.677,3,3.75,0.73,2,1.89,23,57,0,1
C174,Adrenaline Injection,5,0,S5,Medical College Kota,0.842,0.774,2,4.21,1.98,4,0.98,13,83,0,0
C175,Rabies Vaccine,5,1,S10,PHC Alwar,0.717,0.896,6,4.28,6.16,8,0.82,5,84,3,1
C176,Salbutamol,4,0,S4,CHC Udaipur,0.887,1.0,10,3.03,3.87,8,0.96,21,73,0,0
C177,Ceftriaxone,4,0,S10,District Hospital Jodhpur,0.921,0.915,2,1.65,0.76,8,0.73,11,72,0,0
C178,Rabies Vaccine,5,1,S1,District Hospital Ajmer,0.893,0.903,4,3.07,0.93,7,0.76,15,88,0,0
C179,ORS,3,0,S1,District Hospital Jodhpur,0.924,0.822,7,1.61,1.15,8,1.36,14,85,0,1
C180,Pentavalent Vaccine,5,1,S9,PHC Sikar,0.662,0.946,8,3.02,0.82,5,0.6,14,85,0,0
C181,Ceftriaxone,4,0,S3,CHC Udaipur,0.808,1.0,2,2.17,2.26,8,1.18,10,68,0,1
C182,ORS,3,0,S7,CHC Udaipur,0.789,0.766,8,4.13,5.46,3,1.19,14,87,0,0
C183,ORS,3,0,S8,District Hospital Jaipur,0.594,0.83,6,0.92,0.0,8,1.15,14,71,0,1
C184,Pentavalent Vaccine,5,1,S1,District Hospital Jodhpur,0.928,0.868,3,1.8,4.85,3,1.3,5,52,3,1
C185,Oxytocin,5,0,S9,District Hospital Ajmer,0.686,0.849,4,2.29,3.22,7,0.97,19,53,0,0
C186,Adrenaline Injection,5,0,S4,CHC Udaipur,0.896,0.77,8,1.1,3.13,1,0.92,17,61,0,1
C187,Anti-snake Venom,5,1,S8,PHC Sikar,0.794,0.653,9,0.0,0.0,3,1.03,6,98,2,0
C188,Paracetamol Injection,3,0,S4,Medical College Kota,0.645,0.829,6,0.0,2.36,10,1.96,22,90,0,0
C189,Oxytocin,5,0,S1,District Hospital Jaipur,0.836,0.993,8,1.85,1.62,10,0.98,14,94,0,0
C190,Adrenaline Injection,5,0,S3,Medical College Kota,0.749,0.894,2,3.65,0.63,6,1.05,17,96,0,1
C191,Amoxicillin,4,0,S2,Medical College Kota,0.72,0.639,3,2.79,0.03,7,0.95,19,64,0,0
C192,Amoxicillin,4,0,S9,CHC Bikaner,0.829,0.978,11,0.0,0.0,8,1.0,7,77,1,0
C193,Rabies Vaccine,5,1,S5,CHC Bikaner,0.974,0.872,9,3.34,3.15,2,0.71,15,75,0,1
C194,Insulin,5,1,S9,PHC Alwar,0.808,0.965,5,2.0,0.0,4,1.32,6,79,2,0
C195,Amoxicillin,4,0,S3,PHC Sikar,0.602,0.791,11,2.09,1.37,0,1.49,5,56,3,1
C196,Paracetamol Injection,3,0,S1,District Hospital Jaipur,0.99,0.845,11,3.15,3.86,10,1.49,15,80,0,1
C197,Anti-snake Venom,5,1,S1,District Hospital Jaipur,0.936,1.0,3,2.91,3.58,5,1.66,13,99,0,1
C198,Paracetamol Injection,3,0,S8,PHC Sikar,0.765,0.749,11,2.65,0.0,1,0.87,6,64,2,0
C199,Iron Folic Acid,2,0,S5,CHC Bikaner,0.904,0.827,5,2.52,1.78,10,0.96,13,81,0,0
C200,ORS,3,0,S5,District Hospital Ajmer,0.874,1.0,7,0.0,2.68,2,0.83,10,83,0,0
C201,Ceftriaxone,4,0,S10,District Hospital Jaipur,0.99,0.869,6,2.59,2.39,2,1.1,3,62,5,0
C202,Anti-snake Venom,5,1,S4,PHC Sikar,0.678,0.931,3,3.78,3.48,9,1.69,19,86,0,1
C203,Paracetamol Injection,3,0,S5,District Hospital Jaipur,0.883,0.887,6,0.0,3.56,5,1.11,5,66,3,0
C204,Salbutamol,4,0,S10,Medical College Kota,0.773,0.769,5,2.54,1.96,9,1.37,4,87,4,1
C205,Paracetamol Injection,3,0,S7,PHC Alwar,0.909,0.879,4,4.08,1.9,10,1.42,15,53,0,1
C206,Ceftriaxone,4,0,S9,District Hospital Jodhpur,0.78,0.841,2,4.2,0.0,5,0.72,3,54,5,0
C207,Pentavalent Vaccine,5,1,S2,District Hospital Jodhpur,0.829,0.968,6,4.22,0.54,7,1.07,15,84,0,1
C208,Paracetamol Injection,3,0,S10,District Hospital Jaipur,0.99,0.848,6,1.97,0.35,7,1.15,8,54,0,0
C209,Salbutamol,4,0,S1,Medical College Kota,0.746,0.891,8,1.27,1.46,3,0.76,3,57,5,1
C210,Adrenaline Injection,5,0,S2,District Hospital Ajmer,0.803,0.863,3,3.41,1.5,9,0.71,16,87,0,0
C211,Amoxicillin,4,0,S10,District Hospital Ajmer,0.688,0.924,3,3.81,0.37,7,1.29,7,88,1,0
C212,Salbutamol,4,0,S5,District Hospital Ajmer,0.797,0.695,10,4.3,0.24,6,1.2,23,81,0,0
C213,Iron Folic Acid,2,0,S4,District Hospital Jodhpur,0.99,0.942,3,3.71,0.0,3,0.62,4,62,4,1
C214,Paracetamol Injection,3,0,S2,Medical College Kota,0.698,0.677,3,2.46,2.5,8,1.28,12,98,0,1
C215,Insulin,5,1,S10,District Hospital Ajmer,0.781,0.876,3,0.0,0.73,8,0.94,9,76,0,1
C216,ORS,3,0,S4,CHC Bikaner,0.838,0.844,2,3.92,2.59,2,0.94,5,66,3,0
C217,Iron Folic Acid,2,0,S1,Medical College Kota,0.99,0.953,11,1.88,0.4,10,1.07,12,60,0,1
C218,Salbutamol,4,0,S9,District Hospital Ajmer,0.828,1.0,6,1.88,1.25,6,0.84,9,84,0,0
C219,Amoxicillin,4,0,S3,Medical College Kota,0.846,0.727,5,1.91,2.37,8,1.14,22,82,0,1
C220,Pentavalent Vaccine,5,1,S2,District Hospital Jaipur,0.896,0.898,3,1.15,1.75,5,0.88,22,50,0,1
C221,Adrenaline Injection,5,0,S3,District Hospital Ajmer,0.611,0.872,6,0.88,2.92,5,0.92,3,96,5,1
C222,Adrenaline Injection,5,0,S6,Medical College Kota,0.701,0.858,5,2.11,1.3,0,0.83,20,77,0,0
C223,Insulin,5,1,S8,Medical College Kota,0.791,0.879,7,0.0,0.19,8,1.04,20,61,0,0
C224,Anti-snake Venom,5,1,S5,Medical College Kota,0.99,0.963,4,2.7,2.71,7,1.24,13,71,0,0
C225,Paracetamol Injection,3,0,S3,District Hospital Ajmer,0.731,0.78,8,3.77,4.69,7,1.01,15,81,0,1
C226,Salbutamol,4,0,S1,PHC Sikar,0.848,0.937,10,4.67,3.81,2,1.2,11,62,0,1
C227,Paracetamol Injection,3,0,S4,PHC Alwar,0.873,0.757,2,3.46,1.07,7,1.11,9,95,0,0
C228,Insulin,5,1,S2,District Hospital Ajmer,0.99,0.703,9,2.48,0.0,9,1.06,21,95,0,0
C229,Rabies Vaccine,5,1,S6,CHC Udaipur,0.99,0.671,4,2.2,0.0,10,0.71,11,62,0,0
